spec,treatment,event_time,estimate,se,ci_low,ci_high,n,switchers,n_w,switchers_w,window_start,window_end,subgroup_var,subgroup
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,-5,0.00218,0.0037200000000000002,-0.00511,0.00946,6711,151,6711,151,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,-4,0.00387,0.00329,-0.00258,0.01032,7053,153,7053,153,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,-3,0.00262,0.00276,-0.00278,0.00802,7453,157,7453,157,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,-2,0.00353,0.00208,-5.4e-4,0.0076,7806,161,7806,161,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,-1,0.00392,0.0012,0.00157,0.00627,8237,166,8237,166,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,1,-0.00756,0.00125,-0.01002,-0.00511,8465,169,8465,169,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,2,-0.0058,0.00209,-0.00989,-0.00171,8251,168,8251,168,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,3,-0.00856,0.00269,-0.01383,-0.0033,8107,168,8107,168,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,4,-0.00931,0.00319,-0.01556,-0.00306,7909,167,7909,167,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,5,-0.00922,0.00359,-0.01625,-0.00219,7766,167,7766,167,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,6,-0.00768,0.00394,-0.01541,5e-5,7626,167,7626,167,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,7,-0.00895,0.00417,-0.01712,-7.9e-4,7432,166,7432,166,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,8,-0.00915,0.00456,-0.01808,-2.1e-4,7240,165,7240,165,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,9,-0.00937,0.00473,-0.01864,-1.1e-4,7048,164,7048,164,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,10,-0.00782,0.00475,-0.01713,0.0015,6912,164,6912,164,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,11,-0.00773,0.00487,-0.01727,0.00182,6791,164,6791,164,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,12,-0.00702,0.00488,-0.01659,0.00255,6600,161,6600,161,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,13,-0.00762,0.00491,-0.01724,0.002,6409,160,6409,160,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,14,-0.00804,0.00496,-0.01776,0.00168,6282,160,6282,160,NA,NA,NA,NA
by_category_ln_affected_rate_hydrological_std,ln_affected_rate_hydrological_std,15,-0.00713,0.00479,-0.01652,0.00226,6097,158,6097,158,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,-5,0.00241,0.00231,-0.00213,0.00695,7025,89,7025,89,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,-4,-0.00111,0.00187,-0.00477,0.00255,7410,93,7410,93,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,-3,-0.00275,0.00142,-0.00552,3e-5,7677,95,7677,95,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,-2,-6.8e-4,0.001,-0.00263,0.00128,8078,100,8078,100,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,-1,2.1e-4,5.2e-4,-8e-4,0.00122,8497,105,8497,105,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,1,-0.00165,4.9e-4,-0.0026,-7e-4,8726,110,8726,110,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,2,-0.00168,9.2e-4,-0.00348,1.2e-4,8523,109,8523,109,NA,NA,NA,NA
by_category_ln_affected_rate_geophysical_std,ln_affected_rate_geophysical_std,3,-0.00432,0.00126,-0.00679,-0.00185,8331,108,8331,108,NA,NA,NA,NA
