spec,treatment,event_time,estimate,se,ci_low,ci_high,n,switchers,n_w,switchers_w,window_start,window_end,subgroup_var,subgroup
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-5,0.01251,0.00885,-0.00484,0.02987,841,65,841,65,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-4,0.0142,0.00781,-0.00111,0.0295,951,66,951,66,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-3,0.01369,0.00641,0.00113,0.02625,1063,68,1063,68,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-2,0.00755,0.00484,-0.00193,0.01702,1185,70,1185,70,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-1,-0.00254,0.00285,-0.00812,0.00304,1241,70,1241,70,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,1,-0.00136,0.00338,-0.00799,0.00527,1317,75,1317,75,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,2,6.2e-4,0.00557,-0.01029,0.01153,1261,75,1261,75,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,3,-0.0014,0.00782,-0.01674,0.01393,1206,74,1206,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,4,-0.00273,0.00946,-0.02127,0.01582,1154,74,1154,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,5,-0.00626,0.01057,-0.02698,0.01447,1106,74,1106,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,6,-0.01017,0.01195,-0.03358,0.01325,1060,74,1060,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,7,-0.01127,0.0133,-0.03733,0.01479,1012,74,1012,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,8,-0.0127,0.01472,-0.04156,0.01615,963,74,963,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,9,-0.01408,0.01454,-0.04258,0.01442,919,74,919,74,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,10,-0.01081,0.01569,-0.04157,0.01995,869,73,869,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,11,-0.00798,0.01565,-0.03865,0.02269,823,73,823,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,12,-0.00988,0.01519,-0.03966,0.0199,774,72,774,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,13,-0.01087,0.01464,-0.03956,0.01783,726,72,726,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,14,-0.01044,0.01479,-0.03943,0.01855,686,72,686,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_climate_std,ln_affected_rate_climate_std,15,-0.00871,0.01535,-0.03879,0.02136,643,72,643,72,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-5,0.00551,0.00896,-0.01205,0.02306,1095,67,1095,67,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-4,0.00566,0.00714,-0.00835,0.01966,1210,69,1210,69,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-3,0.00349,0.00569,-0.00765,0.01464,1328,70,1328,70,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-2,-0.00374,0.00373,-0.01106,0.00358,1370,70,1370,70,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-1,-0.0013,0.00189,-0.005,0.00239,1491,71,1491,71,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,1,-0.00274,0.00179,-0.00625,7.6e-4,1565,73,1565,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,2,-0.00672,0.00367,-0.01392,4.8e-4,1515,73,1515,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,3,-0.01407,0.00547,-0.0248,-0.00334,1472,73,1472,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,4,-0.01933,0.00682,-0.03271,-0.00596,1418,73,1418,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,5,-0.02292,0.00798,-0.03856,-0.00727,1368,73,1368,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,6,-0.0268,0.00934,-0.04511,-0.0085,1320,73,1320,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,7,-0.02702,0.00973,-0.04609,-0.00795,1269,73,1269,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,8,-0.02723,0.01099,-0.04877,-0.00569,1224,73,1224,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,9,-0.02909,0.01128,-0.05121,-0.00697,1175,73,1175,73,NA,NA,group_income,Poor
income_Poor_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,10,-0.02736,0.0116,-0.05009,-0.00463,1126,73,1126,73,NA,NA,group_income,Poor
