spec,treatment,event_time,estimate,se,ci_low,ci_high,n,switchers,n_w,switchers_w,window_start,window_end,subgroup_var,subgroup
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-5,-0.00291,0.00524,-0.01318,0.00736,4715,173,4715,173,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-4,0.00215,0.00464,-0.00695,0.01124,5064,178,5064,178,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-3,-8e-5,0.00394,-0.00781,0.00765,5408,181,5408,181,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-2,8.1e-4,0.00296,-0.00499,0.00661,5804,187,5804,187,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-1,3e-4,0.00164,-0.00291,0.00352,6185,192,6185,192,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,1,-0.00235,0.00155,-0.00538,6.8e-4,6412,203,6412,203,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,2,0.00117,0.00281,-0.00433,0.00667,6237,203,6237,203,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,3,-0.0011,0.00375,-0.00845,0.00625,6036,202,6036,202,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,4,5e-4,0.0044,-0.00812,0.00912,5871,202,5871,202,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,5,0.00135,0.005,-0.00845,0.01116,5699,202,5699,202,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,6,0.00133,0.0055,-0.00945,0.01211,5533,202,5533,202,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,7,-0.00228,0.00603,-0.01409,0.00953,5350,201,5350,201,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,8,-0.0047,0.00667,-0.01778,0.00838,5167,197,5167,197,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,9,-0.0063,0.00702,-0.02006,0.00745,5012,197,5012,197,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,10,-0.00602,0.00731,-0.02034,0.00831,4860,197,4860,197,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,11,-0.00647,0.00749,-0.02116,0.00821,4704,197,4704,197,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,12,-0.00754,0.00751,-0.02226,0.00718,4538,196,4538,196,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,13,-0.00955,0.00766,-0.02457,0.00547,4366,195,4366,195,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,14,-0.01015,0.00765,-0.02514,0.00484,4236,195,4236,195,NA,NA,NA,NA
main_ln_affected_rate_climate_std,ln_affected_rate_climate_std,15,-0.01019,0.00793,-0.02574,0.00536,4078,194,4078,194,NA,NA,NA,NA
main_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-5,0.00217,0.00373,-0.00514,0.00948,6340,149,6340,149,NA,NA,NA,NA
main_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-4,-1.1e-4,0.00304,-0.00608,0.00585,6737,153,6737,153,NA,NA,NA,NA
main_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-3,-0.00168,0.00242,-0.00642,0.00306,7072,155,7072,155,NA,NA,NA,NA
main_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-2,-0.00233,0.00172,-0.00569,0.00104,7413,160,7413,160,NA,NA,NA,NA
main_ln_affected_rate_no_climate_std,ln_affected_rate_no_climate_std,-1,4.8e-4,8.8e-4,-0.00126,0.00221,7774,164,7774,164,NA,NA,NA,NA
