spec,treatment,event_time,estimate,se,ci_low,ci_high,n,switchers,n_w,switchers_w,window_start,window_end,subgroup_var,subgroup
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-5,-0.02196,0.00832,-0.03826,-0.00565,1747,51,1747,51,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-4,-0.01979,0.00746,-0.03442,-0.00516,2133,62,2133,62,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-3,-0.01776,0.00671,-0.03092,-0.00461,2524,71,2524,71,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-2,-0.01325,0.0053,-0.02364,-0.00286,2937,83,2937,83,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,-1,-0.0064,0.00317,-0.0126,-1.9e-4,3363,92,3363,92,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,0,0,0,NA,NA,0,0,0,0,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,1,0.00113,0.00303,-0.0048,0.00707,3590,103,3590,103,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,2,0.00836,0.00536,-0.00215,0.01887,3370,99,3370,99,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,3,0.01449,0.00715,4.8e-4,0.02851,3152,92,3152,92,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,4,0.01516,0.00805,-6.3e-4,0.03095,2940,86,2940,86,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,5,0.00664,0.00909,-0.01117,0.02444,2731,80,2731,80,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,6,-0.00143,0.01011,-0.02126,0.01839,2527,74,2527,74,1950,1970,NA,NA
window_1950_1970_ln_affected_rate_climate_std,ln_affected_rate_climate_std,7,-0.01408,0.01336,-0.04027,0.0121,2327,66,2327,66,1950,1970,NA,NA
